from_to,geodesic_distance_km,gdp_diff_2018,ESTAT_flow_BMI_2019_T_T_res,gdp_mean_2018,neighbors,share_rel,share_lang,PDI_diff,IDV_diff,UAI_diff,MAS_diff,fb_users_diff,fb_users_perc_diff,fb_users_perc_mean,fb_users_mean,area_diff,area_mean,share_cont
AE-AT,4383.509144063883,11616.024096793612,0.01545140526151115,62768.1034742897,0,0,0,69.0,17.0,2.0,27.0,5037000.0,45.852612551980435,63.73493476416289,6218500.0,11500.0,76770.0,0
AE-BE,5189.370752783179,16047.996983805111,0.07550301309478805,60552.11703078395,0,0,0,15.0,37.0,26.0,2.0,2237000.0,30.954649202008696,71.18391643914876,7618500.0,40740.0,50650.0,0
AE-CH,4807.261970894926,3084.0913172036817,0.1584554544419569,70118.16118128835,0,0,0,46.0,30.0,10.0,18.0,5037000.0,44.489448430087286,64.41651682510945,6218500.0,31503.97,55268.015,0
AE-DK,5114.155540968269,11093.153122779811,0.12043940325782237,63029.5389612966,0,0,0,62.0,36.0,45.0,36.0,5037000.0,23.25024351660963,75.03611928184829,6218500.0,31020.0,55510.0,0
AE-FI,4776.891532919282,18995.510327402808,0.053388005521917886,59078.360358985105,0,0,0,47.0,25.0,9.0,26.0,6037000.0,38.05603056158979,67.6332257593582,5718500.0,232900.0,187470.0,0
AE-GB,5842.181431197442,21002.627507168814,0.24187336521237232,58074.8017691021,0,0,0,45.0,51.0,33.0,14.0,35263000.0,22.425701697323248,75.44839019149148,26368500.0,170910.0,156475.0,0
AE-IT,4324.146382062335,25539.871745649813,0.022037650712323945,55806.1796498616,0,0,0,30.0,38.0,7.0,18.0,21263000.0,36.87926122077207,68.22161042976707,19368500.0,226710.0,184375.0,0
AE-NL,5189.766126849743,10749.487025019007,0.12775844919084092,63201.372010177,0,0,0,42.0,42.0,15.0,38.0,1063000.0,29.722390982978943,71.80004554866363,9268500.0,37350.0,52345.0,0
AE-NO,5387.2841903428325,1232.2138879973936,0.06571367831758929,69192.2224666852,0,0,0,49.0,31.0,18.0,44.0,5337000.0,24.970590621110283,74.17594572959796,6068500.0,294087.85,218063.925,0
AE-SE,4903.60487701688,15054.484879857708,0.1129548820207121,61048.87308275765,0,0,0,49.0,33.0,39.0,47.0,2437000.0,25.011198193373318,74.15564194346643,7518500.0,336290.0,239165.0,0
AR-AT,12263.013342864224,33666.692792129,0.004195348058340662,40126.745029828395,0,1,0,38.0,9.0,16.0,23.0,26300000.0,24.394256591698912,53.005756784022125,16850000.0,2654170.0,1409605.0,0
AR-BE,11880.988356759415,29234.719905117498,0.006868143468347299,37910.75858632265,0,1,0,16.0,29.0,8.0,2.0,23500000.0,9.496293241727173,60.45473845900799,18250000.0,2706410.0,1383485.0,0
AR-CH,11833.09536259444,48366.80820612629,0.023121787992712868,47476.80273682704,0,1,0,15.0,22.0,28.0,14.0,26300000.0,23.031092469805763,53.68733884496869,16850000.0,2697173.97,1388103.015,0
AR-DK,12538.51902248326,34189.5637661428,0.06296344166535281,40388.1805168353,0,1,0,31.0,28.0,63.0,40.0,26300000.0,1.7918875563281063,64.30694130170752,16850000.0,2696690.0,1388345.0,0
AR-ES,10646.906616165845,17402.989047784802,0.1766496710639042,31994.8931576563,0,1,1,8.0,5.0,0.0,14.0,7000000.0,15.972528923074009,57.216620618334574,26500000.0,2237086.521,1618146.7395,0
AR-FI,13652.49009719121,26287.2065615198,0.0017724857436255837,36437.001914523804,0,1,0,16.0,17.0,27.0,30.0,27300000.0,16.59767460130827,56.90404777921744,16350000.0,2432770.0,1520305.0,0
AR-IT,11765.51235482083,19742.845143272796,0.02835571252646776,33164.821205400294,0,1,0,1.0,30.0,11.0,14.0,0.0,15.42090526049055,57.49243244962631,30000000.0,2438960.0,1517210.0,0
AR-NL,12041.122058076273,34533.2298639036,0.00843859183764475,40560.0135657157,0,1,0,11.0,34.0,33.0,42.0,20200000.0,8.26403502269742,61.07086756852287,19900000.0,2703020.0,1385180.0,0
AR-NO,12757.470507441629,46514.93077692,0.0051804535337205615,46550.864022223905,0,1,0,18.0,23.0,36.0,48.0,26600000.0,3.51223466082876,63.446767749457194,16700000.0,2371582.15,1550898.925,0
AR-SE,13220.510458178,30228.2320090649,0.0058424467713160235,38407.51463829635,0,1,0,18.0,25.0,57.0,51.0,23700000.0,3.552842233091795,63.42646396332568,18150000.0,2329380.0,1572000.0,0
AT-AE,4383.509144063883,11616.024096793612,0.01545140526151115,62768.1034742897,0,0,0,69.0,17.0,2.0,27.0,5037000.0,45.852612551980435,63.73493476416289,6218500.0,11500.0,76770.0,0
AT-AR,12263.013342864224,33666.692792129,0.004195348058340662,40126.745029828395,0,1,0,38.0,9.0,16.0,23.0,26300000.0,24.394256591698912,53.005756784022125,16850000.0,2654170.0,1409605.0,0
AT-AU,14207.33916169978,6790.90413224059,0.01706088845564957,53564.6393597726,0,1,0,25.0,35.0,19.0,18.0,11300000.0,16.731437043057177,49.17434700970125,9350000.0,7609500.0,3887270.0,0
AT-BE,807.9534970167413,4431.9728870115,0.09932809145061247,54744.10498238714,0,1,1,54.0,20.0,24.0,25.0,2800000.0,14.89796334997174,48.25761016315853,5100000.0,52240.0,56400.0,1
AT-BR,9484.917893538362,41939.653202004796,0.004382081838428589,35990.2648248905,0,1,1,58.0,17.0,6.0,30.0,135300000.0,23.736382376819044,52.676819676582184,71350000.0,8275620.0,4220330.0,0
AT-CH,485.4650304477519,14700.115413997293,0.7887014391757643,64310.14913289154,1,1,1,23.0,13.0,12.0,9.0,0.0,1.3631641218931492,41.49021054911924,3700000.0,43003.97,61018.015,1
AT-CL,12561.293116916046,31245.952000895097,0.011669285673861446,41337.11542544535,0,1,0,52.0,32.0,16.0,51.0,9300000.0,26.72315495609893,54.17020596622213,8350000.0,661012.0,413026.0,0
AT-CN,7154.855428120155,41462.7314310553,0.0016272223416522625,36228.72571036525,0,0,0,69.0,35.0,30.0,13.0,2370000.0,40.716807551977446,20.450224712183942,2515000.0,9342182.9,4753611.45,0
AT-CO,9550.92985543049,41916.0360893606,0.0066397865872694015,36002.0733812126,0,1,0,56.0,42.0,10.0,15.0,25300000.0,15.488100466100832,48.55267872122308,16350000.0,1026980.0,596010.0,0
AT-CR,9833.53883057946,35641.0474328101,0.010455396091155162,39139.56770948785,0,1,0,24.0,40.0,16.0,58.0,500000.0,20.939372516776054,51.278314746560696,3450000.0,31460.0,66790.0,0
AT-CZ,264.77685212944334,15824.598442327297,0.221953273187633,49047.79220472925,1,0,1,46.0,3.0,4.0,22.0,900000.0,2.034740624962147,41.825998800653736,4150000.0,5320.0,79860.0,1
AT-DE,503.2653504737253,1724.7251210598988,0.3668509616810606,56097.72886536295,1,1,1,24.0,12.0,5.0,13.0,27300000.0,3.8526544023692892,38.882301286988024,17350000.0,266860.0,215950.0,1
AT-DK,1032.8089667962977,522.8709740138002,0.12248524853147812,57221.5269128998,0,1,1,7.0,19.0,47.0,63.0,0.0,22.602369035370806,52.10981300585807,3700000.0,42520.0,61260.0,1
AT-EC,10364.610840539644,45120.7481903343,0.004424718382578824,34399.71733072575,0,1,0,67.0,47.0,3.0,16.0,6300000.0,14.399237131024137,48.008247053684734,6850000.0,165840.0,165440.0,0
AT-EG,2700.346110851713,45320.8523360065,0.009261836430403196,34299.66525788965,0,0,0,69.0,17.0,2.0,27.0,38700000.0,0.8676702676584043,40.37479335434347,23050000.0,912930.0,538985.0,0
AT-ES,1658.2435641948616,16263.703744344195,0.04280854309790801,48828.2395537208,0,1,0,46.0,4.0,16.0,37.0,19300000.0,8.421727668624904,45.01949232248512,13350000.0,417083.479,291061.7395,1
AT-ET,4906.279075365846,54806.07054903411,0.0007848615099260432,29557.05615137584,0,1,0,53.0,28.0,18.0,38.0,2307000.0,35.83646902195497,22.89039397719518,4853500.0,1046780.3899999999,605910.195,0
AT-FI,1752.8794167056385,7379.486230609196,0.058712815154156266,53270.3483105883,0,1,0,22.0,8.0,11.0,53.0,1000000.0,7.796581990390642,44.70691948336798,3200000.0,221400.0,193220.0,1
AT-FR,950.2927837852432,10383.489576954686,0.03172514398016186,51768.346637415554,0,1,0,57.0,16.0,16.0,36.0,29300000.0,9.508124621151097,45.562690798748214,18350000.0,465037.0,315038.5,1
AT-GB,1518.768054964308,9386.603410375203,0.039548669592936785,52266.789720705296,0,1,0,24.0,34.0,35.0,13.0,40300000.0,23.426910854657187,52.522083915501256,23850000.0,159410.0,162225.0,1
AT-GH,4627.681388454235,51517.219278742,0.0055403785080020175,31201.481786521897,0,1,0,66.0,35.0,16.0,33.0,1200000.0,25.683047580977366,27.967104697683983,4300000.0,145020.0,155030.0,0
AT-GR,1107.0546540627045,27342.543085919697,0.14283186721590593,43288.81988293305,0,1,0,49.0,20.0,42.0,22.0,1300000.0,7.656777438196556,44.637017207270944,4350000.0,46380.0,105710.0,1
AT-GT,9799.108584922004,48294.74416491989,0.0017615063712321534,32812.71934343295,0,1,0,84.0,49.0,31.0,42.0,3100000.0,4.218089693027011,38.69958364165916,5250000.0,24640.0,94840.0,0
AT-HU,376.3258625188736,25047.016770645296,1.5806013131848897,44436.58304057025,1,1,1,35.0,0.0,12.0,9.0,1600000.0,14.363733614493945,47.990495295419635,4500000.0,8740.0,86890.0,1
AT-ID,10778.305982769478,45315.3328868576,0.0007562308851565793,34302.4249824641,0,0,0,67.0,41.0,22.0,33.0,133260000.0,8.257322709799098,44.937289843072215,70330000.0,1794999.0,980019.5,0
AT-IE,1736.7967551531503,27595.54337584741,0.078489035509378,70757.8631138166,0,1,0,17.0,15.0,35.0,11.0,1000000.0,12.97410004509863,47.295678510721984,3200000.0,13630.0,75705.0,1
AT-IL,2516.9554982667178,17053.966741554097,0.035928495553677595,48433.10805511585,0,0,0,2.0,1.0,11.0,32.0,2177000.0,25.055667527065445,53.336462251705385,4788500.0,60880.0,52080.0,0
AT-IN,6437.829443622928,50284.730131785065,0.0014798129425819759,31817.726360000364,0,0,0,66.0,7.0,30.0,23.0,247300000.0,22.96458399247943,29.32633649193295,127350000.0,2890670.0,1527855.0,0
AT-IQ,2912.4868014628696,46150.619015751596,0.028136968247842148,33884.7819180171,0,0,0,69.0,17.0,2.0,27.0,17576000.0,9.650324815832207,45.63379089608877,12488000.0,351608.0,258324.0,0
AT-IR,3687.894179711785,43164.7739585745,0.02224243191472153,35377.70444660565,0,0,0,47.0,14.0,11.0,36.0,36300000.0,5.690651697157662,43.6539543367515,21850000.0,1546240.0,855640.0,0
AT-IT,646.5538005590518,13923.847648856201,0.101075207837378,49998.1676014648,1,1,1,39.0,21.0,5.0,9.0,26300000.0,8.973351331208363,45.29530415377685,16850000.0,215210.0,190125.0,1
AT-JM,8681.228642314387,46991.496933072085,0.0045378440138386196,33464.34295935685,0,1,0,34.0,16.0,57.0,11.0,2600000.0,3.9588676431205485,38.829194666612395,2400000.0,71690.0,46675.0,0
AT-JP,9178.816665266784,14757.690309223995,0.004808868495849917,49581.2462712809,0,0,0,43.0,9.0,22.0,16.0,24300000.0,18.51294339918127,31.55215678858203,15850000.0,281980.0,223510.0,0
AT-KE,5733.250473919011,52516.91231727894,0.002891577910255782,30701.635267253427,0,1,0,53.0,28.0,18.0,38.0,3300000.0,28.356484966403002,26.630386004971164,5350000.0,486620.0,325830.0,0
AT-KR,8635.959781485652,13933.7950352591,0.010885819222421034,49993.19390826335,0,0,0,49.0,37.0,15.0,40.0,18136000.0,1.7318799199970059,41.67456844817117,12768000.0,15000.0,90020.0,0
AT-KW,3473.3210383882943,5269.522468845396,0.006184877992480733,54325.3301914702,0,0,0,69.0,17.0,2.0,27.0,393000.0,52.63190538989941,67.12458118312237,3896500.0,64700.0,50170.0,0
AT-LB,2341.2868265894444,40905.72897000369,0.017055171886994052,36507.22694089105,0,0,0,69.0,17.0,2.0,27.0,267000.0,18.534521970424088,50.075889473384706,3833500.0,72290.0,46375.0,0
AT-LY,2362.3860417942983,41581.5186622766,0.01603273865034356,36169.3320947546,0,0,0,69.0,17.0,2.0,27.0,1394000.0,31.541669669195635,56.57946332277048,4397000.0,1677020.0,921030.0,0
AT-MX,9938.022021557565,36863.934772459,0.002934400711406408,38528.124039663395,0,1,0,70.0,25.0,12.0,10.0,74300000.0,18.478659864188906,50.04795842026712,40850000.0,1861430.0,1013235.0,0
AT-MY,9473.1811369563,28720.591342174495,0.002585529563704934,42599.79575480565,0,0,0,93.0,29.0,34.0,29.0,21820000.0,36.102690109369924,58.85997354285763,14610000.0,246030.0,205535.0,0
