from_to,ESTAT_flow_BMI_2019_T_T_res
AE-AT,0.0015451405261511148
AE-BE,0.007550301309478805
AE-CH,0.01584554544419569
AE-DK,0.012043940325782237
AE-FI,0.005338800552191789
AE-GB,0.02418733652123723
AE-IT,0.0022037650712323944
AE-NL,0.012775844919084092
AE-NO,0.006571367831758928
AE-SE,0.011295488202071212
AR-AT,0.0004195348058340662
AR-BE,0.0006868143468347299
AR-CH,0.0023121787992712865
AR-DK,0.006296344166535281
AR-ES,0.01766496710639042
AR-FI,0.00017724857436255838
AR-IT,0.002835571252646776
AR-NL,0.0008438591837644749
AR-NO,0.0005180453533720561
AR-SE,0.0005842446771316023
AT-AE,0.0015451405261511148
AT-AR,0.0004195348058340662
AT-AU,0.001706088845564957
AT-BE,0.009932809145061247
AT-BR,0.0004382081838428589
AT-CH,0.07887014391757644
AT-CL,0.0011669285673861446
AT-CN,0.00016272223416522624
AT-CO,0.0006639786587269401
AT-CR,0.0010455396091155161
AT-CZ,0.022195327318763298
AT-DE,0.036685096168106064
AT-DK,0.012248524853147811
AT-EC,0.00044247183825788243
AT-EG,0.0009261836430403197
AT-ES,0.004280854309790801
AT-ET,7.848615099260432e-05
AT-FI,0.005871281515415627
AT-FR,0.003172514398016186
AT-GB,0.003954866959293679
AT-GH,0.0005540378508002017
AT-GR,0.014283186721590594
AT-GT,0.00017615063712321535
AT-HU,0.15806013131848895
AT-ID,7.562308851565794e-05
AT-IE,0.0078489035509378
AT-IL,0.0035928495553677595
AT-IN,0.00014798129425819758
AT-IQ,0.0028136968247842145
AT-IR,0.002224243191472153
AT-IT,0.0101075207837378
AT-JM,0.00045378440138386196
AT-JP,0.0004808868495849917
AT-KE,0.0002891577910255782
AT-KR,0.0010885819222421034
AT-KW,0.0006184877992480734
AT-LB,0.0017055171886994052
AT-LY,0.001603273865034356
AT-MX,0.00029344007114064075
AT-MY,0.0002585529563704934
AT-NG,0.00046091053667458637
AT-NL,0.01265196122931125
AT-NO,0.005826094519962066
AT-NZ,0.001981928577894655
AT-PA,0.0002538415523235924
AT-PE,0.0004021436674018157
AT-PH,0.0004705566657649297
AT-PK,0.0003507147216848774
AT-PL,0.01889161665524724
AT-PT,0.007919749082442421
AT-SA,0.0004282898229833696
AT-SE,0.007028817601960306
AT-SG,0.001861258851179732
AT-SL,0.0003533336122383345
AT-SV,0.00013786347588054775
AT-TH,0.0007506358262602757
AT-TR,0.0068923846728986176
AT-TZ,6.776667286329782e-05
AT-US,0.0007410742661466045
AT-UY,0.00048433312871871796
AT-ZA,0.0005499559451676624
AT-ZM,2.3190768942728304e-05
AU-AT,0.001706088845564957
AU-BE,0.0028530140992947197
AU-CH,0.010756670869577423
AU-DK,0.01272483868931541
AU-FI,0.00405296008691042
AU-GB,0.030870669132345017
AU-IT,0.0021496158176576444
AU-NL,0.009375725974575243
AU-NO,0.004859609469190307
AU-SE,0.006108248400875996
BE-AE,0.007550301309478805
BE-AR,0.0006868143468347299
BE-AT,0.009932809145061247
BE-AU,0.0028530140992947197
BE-BR,0.0007766558409316532
BE-CH,0.025847451241596063
BE-CL,0.0016642407857361274
BE-CN,0.00018658479835874454
BE-CO,0.0014150013985223576
BE-CR,0.0010106700698962556
BE-CZ,0.00777055637238566
BE-DE,0.00965586537965932
BE-DK,0.014057683155085376
BE-EC,0.0016530283706381612
BE-EG,0.0006085125967629819
BE-ES,0.022931497867956945
BE-ET,0.0005961102581439591
BE-FI,0.010172340336573719
BE-FR,0.04512089998404978
BE-GB,0.013338969688759686
BE-GH,0.00188355535808557
BE-GR,0.019893232984081813
BE-GT,0.0003522949235771043
BE-HU,0.013014507142264002
BE-ID,0.00012290350137872337
BE-IE,0.018600722140367183
BE-IL,0.005674238513059334
BE-IN,0.00030998472844868
BE-IQ,0.0036602921170818094
BE-IR,0.0012431042676248375
BE-IT,0.013796806522131128
BE-JM,0.0010527608335430254
BE-JP,0.0013888121402382807
BE-KE,0.0006584111308182966
BE-KR,0.0007771968296973346
BE-KW,0.0017337962094922507
BE-LB,0.013567791963847445
BE-LY,0.0008554915128041438
BE-MX,0.0003881575881832257
BE-MY,0.0007261124765731752
BE-NG,0.00024205092083130238
BE-NL,0.10066364226949379
BE-NO,0.00869957937160781
BE-NZ,0.002655429150349165
BE-PA,0.002669688094316973
BE-PE,0.0009744212232712951
BE-PH,0.0005524309248464592
BE-PK,0.0004583639092866187
BE-PL,0.020105827117611958
BE-PT,0.048188992059151864
BE-SA,0.0009643905226286702
BE-SE,0.011613412918197664
BE-SG,0.008122032688656872
BE-SL,0.001271615687739531
BE-SV,0.01727122491735899
BE-TH,0.0014325180853829377
BE-TR,0.005854819457762432
BE-TZ,0.0003240852985996988
BE-US,0.0016767621251039969
BE-UY,0.0005992707218052939
BE-ZA,0.0011911038327867408
BE-ZM,0.00036764436293830667
BR-AT,0.0004382081838428589
BR-BE,0.0007766558409316532
BR-CH,0.0017596921471919988
