from_to,gdp_diff_2018,gdp_mean_2018,neighbors,share_lang,PDI_diff,MAS_diff,fb_users_diff,fb_users_perc_mean,fb_users_mean,share_cont
AE-AT,11616.024096793612,62768.1034742897,0,0,69.0,27.0,5037000.0,63.73493476416289,6218500.0,0
AE-BE,16047.996983805111,60552.11703078395,0,0,15.0,2.0,2237000.0,71.18391643914876,7618500.0,0
AE-CH,3084.0913172036817,70118.16118128835,0,0,46.0,18.0,5037000.0,64.41651682510945,6218500.0,0
AE-DK,11093.153122779811,63029.5389612966,0,0,62.0,36.0,5037000.0,75.03611928184829,6218500.0,0
AE-FI,18995.510327402808,59078.360358985105,0,0,47.0,26.0,6037000.0,67.6332257593582,5718500.0,0
AE-GB,21002.627507168814,58074.8017691021,0,0,45.0,14.0,35263000.0,75.44839019149148,26368500.0,0
AE-IT,25539.871745649813,55806.1796498616,0,0,30.0,18.0,21263000.0,68.22161042976707,19368500.0,0
AE-NL,10749.487025019007,63201.372010177,0,0,42.0,38.0,1063000.0,71.80004554866363,9268500.0,0
AE-NO,1232.2138879973936,69192.2224666852,0,0,49.0,44.0,5337000.0,74.17594572959796,6068500.0,0
AE-SE,15054.484879857708,61048.87308275765,0,0,49.0,47.0,2437000.0,74.15564194346643,7518500.0,0
AR-AT,33666.692792129,40126.745029828395,0,0,38.0,23.0,26300000.0,53.005756784022125,16850000.0,0
AR-BE,29234.719905117498,37910.75858632265,0,0,16.0,2.0,23500000.0,60.45473845900799,18250000.0,0
AR-CH,48366.80820612629,47476.80273682704,0,0,15.0,14.0,26300000.0,53.68733884496869,16850000.0,0
AR-DK,34189.5637661428,40388.1805168353,0,0,31.0,40.0,26300000.0,64.30694130170752,16850000.0,0
AR-ES,17402.989047784802,31994.8931576563,0,1,8.0,14.0,7000000.0,57.216620618334574,26500000.0,0
AR-FI,26287.2065615198,36437.001914523804,0,0,16.0,30.0,27300000.0,56.90404777921744,16350000.0,0
AR-IT,19742.845143272796,33164.821205400294,0,0,1.0,14.0,0.0,57.49243244962631,30000000.0,0
AR-NL,34533.2298639036,40560.0135657157,0,0,11.0,42.0,20200000.0,61.07086756852287,19900000.0,0
AR-NO,46514.93077692,46550.864022223905,0,0,18.0,48.0,26600000.0,63.446767749457194,16700000.0,0
AR-SE,30228.2320090649,38407.51463829635,0,0,18.0,51.0,23700000.0,63.42646396332568,18150000.0,0
AT-AE,11616.024096793612,62768.1034742897,0,0,69.0,27.0,5037000.0,63.73493476416289,6218500.0,0
AT-AR,33666.692792129,40126.745029828395,0,0,38.0,23.0,26300000.0,53.005756784022125,16850000.0,0
AT-AU,6790.90413224059,53564.6393597726,0,0,25.0,18.0,11300000.0,49.17434700970125,9350000.0,0
AT-BE,4431.9728870115,54744.10498238714,0,1,54.0,25.0,2800000.0,48.25761016315853,5100000.0,1
AT-BR,41939.653202004796,35990.2648248905,0,1,58.0,30.0,135300000.0,52.676819676582184,71350000.0,0
AT-CH,14700.115413997293,64310.14913289154,1,1,23.0,9.0,0.0,41.49021054911924,3700000.0,1
AT-CL,31245.952000895097,41337.11542544535,0,0,52.0,51.0,9300000.0,54.17020596622213,8350000.0,0
AT-CN,41462.7314310553,36228.72571036525,0,0,69.0,13.0,2370000.0,20.450224712183942,2515000.0,0
AT-CO,41916.0360893606,36002.0733812126,0,0,56.0,15.0,25300000.0,48.55267872122308,16350000.0,0
AT-CR,35641.0474328101,39139.56770948785,0,0,24.0,58.0,500000.0,51.278314746560696,3450000.0,0
AT-CZ,15824.598442327297,49047.79220472925,1,1,46.0,22.0,900000.0,41.825998800653736,4150000.0,1
AT-DE,1724.7251210598988,56097.72886536295,1,1,24.0,13.0,27300000.0,38.882301286988024,17350000.0,1
AT-DK,522.8709740138002,57221.5269128998,0,1,7.0,63.0,0.0,52.10981300585807,3700000.0,1
AT-EC,45120.7481903343,34399.71733072575,0,0,67.0,16.0,6300000.0,48.008247053684734,6850000.0,0
AT-EG,45320.8523360065,34299.66525788965,0,0,69.0,27.0,38700000.0,40.37479335434347,23050000.0,0
AT-ES,16263.703744344195,48828.2395537208,0,0,46.0,37.0,19300000.0,45.01949232248512,13350000.0,1
AT-ET,54806.07054903411,29557.05615137584,0,0,53.0,38.0,2307000.0,22.89039397719518,4853500.0,0
AT-FI,7379.486230609196,53270.3483105883,0,0,22.0,53.0,1000000.0,44.70691948336798,3200000.0,1
AT-FR,10383.489576954686,51768.346637415554,0,0,57.0,36.0,29300000.0,45.562690798748214,18350000.0,1
AT-GB,9386.603410375203,52266.789720705296,0,0,24.0,13.0,40300000.0,52.522083915501256,23850000.0,1
AT-GH,51517.219278742,31201.481786521897,0,0,66.0,33.0,1200000.0,27.967104697683983,4300000.0,0
AT-GR,27342.543085919697,43288.81988293305,0,0,49.0,22.0,1300000.0,44.637017207270944,4350000.0,1
